0.0457490,4.64812e-05,
0.0811439,0.000174348,
0.0988874,0.000255723,
0.134221,0.000360334,
0.134405,0.000430101,
0.187052,0.000453296,
0.274725,0.000464822,
0.327156,0.000406621,
0.379557,0.000336792,
0.519662,0.000290118,
0.607150,0.000231876,
0.764783,0.000185181,
0.939914,0.000126837,
1.11511,9.17496e-05,
1.37800,7.98160e-05,
1.53570,5.63766e-05,
1.72842,2.12686e-05,
1.86840,-7.19179e-05,
2.00841,-0.000153477,
2.14839,-0.000246663,
2.25313,-0.000409576,
2.35784,-0.000584118,
2.44499,-0.000770267,
2.54961,-0.000979692,
2.61923,-0.00116582,
2.72382,-0.00138687,
2.82841,-0.00160793,
2.95061,-0.00179412,
3.02027,-0.00196862,
3.14223,-0.00224783,
3.22947,-0.00239910,
3.36927,-0.00256205,
3.49163,-0.00269010,
3.63155,-0.00280654,
3.73654,-0.00287643,
3.91185,-0.00286501,
3.99977,-0.00276046,
4.14027,-0.00265597,
4.26328,-0.00253983,
4.50914,-0.00236570,
4.66711,-0.00228449,
4.77274,-0.00211019,
4.84313,-0.00200562,
4.91355,-0.00188942,
4.96644,-0.00177320,
5.12448,-0.00166874,
5.19487,-0.00156417,
5.31787,-0.00144803,
5.40613,-0.00121557,
5.51173,-0.00105290,
5.61730,-0.000901863,
5.67032,-0.000739133,
5.79357,-0.000529973,
6.00446,-0.000320915,
6.10997,-0.000193130,
6.23304,-5.37372e-05,
6.39141,0.000178638,
6.53210,0.000352894,
6.67272,0.000503894,
6.81317,0.000585127,
6.91858,0.000678028,
7.02421,0.000852325,
7.16490,0.00102658,
7.30550,0.00116595,
7.56907,0.00140983,
7.81493,0.00158397,
8.14846,0.00176963,
8.51708,0.00196687,
8.97346,0.00221053,
9.30675,0.00230317,
9.67513,0.00240739,
9.85050,0.00244207,
10.0084,0.00250003,
10.2891,0.00258110,
10.6925,0.00267365,
11.1133,0.00270805,
11.5515,0.00273079,
11.9022,0.00275364,
12.1299,0.00271849,
12.5157,0.00277618,
12.9015,0.00282225,
13.2696,0.00283345,
13.6553,0.00286788,
13.9884,0.00290238,
14.6196,0.00294816,
15.4085,0.00300538,
16.3551,0.00303916,
17.2493,0.00309626,
17.8628,0.00310718,
18.4938,0.00310644,
19.2650,0.00307066,
19.7381,0.00302360,
20.0360,0.00298837,
